company,cik,city,zip,entity_type,incorporated,young_company,industry,revenue_range,first_sale_date,filing_date,is_amendment,total_offering,amount_sold,num_investors,equity,debt,exemptions,related_people,file_num,accession,filing_url
GAXOS.AI INC.,1895618,Roseland,07068,Corporation,2021,True,Other Technology,Decline to Disclose,2024-12-18,2025-01-02,False,5000005.0,5000005.0,4,False,False,06b,Adam Holzer (Director); Alex Kisin (Director); Vadim Mats (Executive Officer/Director); Steven Shorr (Executive Officer/Director); Scott Grayson (Director),021-534029,0001213900-25-000387,https://www.sec.gov/Archives/edgar/data/1895618/000121390025000387/
GAXOS.AI INC.,1895618,Roseland,07068,Corporation,2021,True,Other Technology,Decline to Disclose,2024-12-26,2025-01-02,False,4040007.0,4040007.0,5,False,False,06b,Alex Kisin (Director); Adam Holzer (Director); Steven Shorr (Executive Officer/Director); Vadim Mats (Executive Officer/Director); Scott Grayson (Director),021-534032,0001213900-25-000400,https://www.sec.gov/Archives/edgar/data/1895618/000121390025000400/
"GLW, Inc.",1716695,Englewood Cliffs,07632,Corporation,overFiveYears,False,Other Health Care,Decline to Disclose,,2023-06-26,False,7000000.0,0.0,0,True,False,06b,Keith Wapner (Director); Thomas Lee (Director); Vadim Gurevich (Executive Officer/Director),021-485096,0001716695-23-000002,https://www.sec.gov/Archives/edgar/data/1716695/000171669523000002/
"GREENBLU, INC.",2006736,Hamilton,08609,Corporation,overFiveYears,False,Manufacturing,Decline to Disclose,,2024-01-03,False,6000000.0,5000001.0,7,True,False,06b,KEVIN TRITZ (Executive Officer/Director); HOWARD YUH (Executive Officer/Director),021-501430,0002006736-24-000001,https://www.sec.gov/Archives/edgar/data/2006736/000200673624000001/
"GREENBLU, INC.",2006736,Hamilton,08609,Corporation,overFiveYears,False,Manufacturing,Decline to Disclose,2024-04-01,2024-04-12,False,2500000.0,2500000.0,2,True,False,06b,Michael Blatz (Director); Earl Jones (Director); Kevin Tritz (Executive Officer/Director); Howard Yuh (Executive Officer/Director),021-510471,0002006736-24-000002,https://www.sec.gov/Archives/edgar/data/2006736/000200673624000002/
"Gadget Software, Inc.",1691338,Hackensack,07601,Corporation,overFiveYears,False,Other Technology,Decline to Disclose,2021-12-28,2022-01-12,False,13390876.0,12390876.0,18,True,False,06b,Rabindra Soni (Executive Officer/Director),021-428979,0001691338-22-000004,https://www.sec.gov/Archives/edgar/data/1691338/000169133822000004/
"GaudHammer Gaming Group, Inc.",2117584,Egg Harbor Township,08234,Corporation,2023,True,Other,Decline to Disclose,2026-02-12,2026-03-09,False,600000.0,600000.0,2,False,True,06b,Luis Gaud (Executive Officer/Director); Anthony D'Ottavio (Director); James Hammerstedt (Executive Officer/Director),021-575793,0002117584-26-000001,https://www.sec.gov/Archives/edgar/data/2117584/000211758426000001/
"Gennao Bio, Inc.",1862102,Pennington,08534,Corporation,2020,True,Biotechnology,Decline to Disclose,2021-05-06,2021-12-28,True,55000012.0,32500008.0,7,True,False,06b,Chris Duke (Executive Officer); Chau Khuong (Director); Gary Sender (Director); Stephen Squinto (Executive Officer/Director/Promoter); Dale Ludwig (Executive Officer); Julie Hambleton (Director); Anuj Goswami (Executive Officer); Claudine Prowse (Executive Officer); Bruce Turner (Director),021-400266,0001567619-21-022547,https://www.sec.gov/Archives/edgar/data/1862102/000156761921022547/
"Gennao Bio, Inc.",1862102,Pennington,08534,Corporation,2020,True,Biotechnology,Decline to Disclose,2022-11-28,2022-12-08,False,40000000.0,14999997.0,3,True,False,06b,Julie Hambleton (Director); Anuj Goswami (Executive Officer); Claudine Prowse (Executive Officer); Joe McIntosh (Executive Officer); Bradley Campbell (Director); Craig Gordon (Director); Stephen Squinto (Executive Officer/Director/Promoter); Peter Thompson (Director); Dale Ludwig (Executive Officer); Chris Duke (Executive Officer); Gary Sender (Director),021-466966,0001567619-22-021428,https://www.sec.gov/Archives/edgar/data/1862102/000156761922021428/
"Genomic Prediction, Inc.",1897345,North Brunswick,08902,Corporation,2017,True,Other Health Care,Decline to Disclose,2021-11-16,2021-12-15,False,12000000.0,11999988.0,20,True,False,06b,Laurent Tellier (Executive Officer/Director); Stephen Hsu (Executive Officer/Director); Nathan Mee (Director); Sailesh Ramakrishnan (Director),021-425134,0001897345-21-000001,https://www.sec.gov/Archives/edgar/data/1897345/000189734521000001/
Get Ready Tour LLC,1803542,Summit,07901,Limited Liability Company,2020,True,Other,Decline to Disclose,2020-04-10,2022-03-30,True,7000000.0,6500000.0,127,False,False,06b,Ira Pittelman (Executive Officer/Director); Tom Hulce (Executive Officer/Director),021-362291,0001803542-22-000001,https://www.sec.gov/Archives/edgar/data/1803542/000180354222000001/
Ghost Notes Inc.,1994307,Sparta,07871,Corporation,2023,True,Other Technology,Decline to Disclose,2023-09-01,2023-09-20,False,1500000.0,550000.0,2,False,False,06b,Jonathan Abodeely (Director); Garrick Brown (Executive Officer/Director),021-492609,0001994307-23-000001,https://www.sec.gov/Archives/edgar/data/1994307/000199430723000001/
"GlucoTrack, Inc.",1506983,Rutherford,07070,Corporation,overFiveYears,False,Biotechnology,"$1 - $1,000,000",2024-04-22,2024-05-08,False,500000.0,500000.0,9,True,False,06b,Paul Goode (Executive Officer); Shimon Rapps (Director); Andrew Sycoff (Director); Erin Carter (Director); Luis Malave (Director); Allen Danzig (Director); James Cardwell (Executive Officer); Robert Fischell (Director),021-512729,0001493152-24-018244,https://www.sec.gov/Archives/edgar/data/1506983/000149315224018244/
"Go4Ellis, Inc.",1889909,Brigantine,08203,Corporation,2021,True,Other Technology,Decline to Disclose,2021-09-15,2022-03-21,False,2000000.0,1530906.0,20,True,False,06b,Andrew Hayes (Executive Officer/Director); Andy Kaplan (Director); David Snyder (Director),021-438176,0001889909-22-000001,https://www.sec.gov/Archives/edgar/data/1889909/000188990922000001/
"Goldin Parent, Inc.",1846289,Runnemede,08078,Corporation,2020,True,Other,Decline to Disclose,2020-12-28,2021-03-04,False,,54750015.0,21,True,False,06b,Kenneth Goldin (Executive Officer/Director); Matthew Brown (Director); Michaela Venuti (Director); Jesse Jacobs (Director); Nathaniel Turner V (Executive Officer/Director); Ross Hoffman (Executive Officer/Director),021-391242,0001846289-21-000002,https://www.sec.gov/Archives/edgar/data/1846289/000184628921000002/
Gparency LLC,1895197,Howell Township,07731,Limited Liability Company,2021,True,Other Technology,Decline to Disclose,2022-11-23,2022-12-08,False,8500000.0,1159250.0,28,True,False,06b,Ira Zlotowitz (Executive Officer/Director); Ben Schweitzer (Executive Officer); Avi Beneson (Executive Officer); Michael Fried (Director); Abraham Bergman (Director); Chayale Kaufman (Director); Abrar Qureshi (Executive Officer); Paul Fruchthandler (Director); Joel Kahn (Executive Officer),021-466882,0001895197-22-000001,https://www.sec.gov/Archives/edgar/data/1895197/000189519722000001/
Gparency LLC,1895197,Howell Township,07731,Limited Liability Company,2021,True,Other Technology,Decline to Disclose,2024-02-05,2024-02-16,False,11000000.0,162500.0,3,True,False,06c,Abraham Bergman (Director); Paul Fruchthandler (Director); Ira Zlotowitz (Executive Officer/Director); Michael Fried (Director); Chayale Kaufman (Director),021-505484,0001895197-24-000001,https://www.sec.gov/Archives/edgar/data/1895197/000189519724000001/
"Grace Therapeutics, Inc.",1444192,Princeton,08540,Corporation,overFiveYears,False,Biotechnology,No Revenues,2025-02-10,2025-02-25,False,30000203.0,14999985.0,14,True,False,06b,Robert J. DelAversano (Executive Officer); Amresh Kumar (Executive Officer); Prashant Kohli (Director/Executive Officer); Carrie D'Andrea (Executive Officer); S. George Kottayil (Director); Edward Neugeboren (Director); A. Brian Davis (Director); Dr. R. Loch Macdonald (Executive Officer); Vimal Kavuru (Director),021-539175,0001140361-25-005827,https://www.sec.gov/Archives/edgar/data/1444192/000114036125005827/
Great Investors Development Corp,1952529,North Brunswick,08902,Corporation,2018,True,Manufacturing,No Revenues,,2023-08-01,True,5700000000.0,0.0,35,True,True,06b,ROXANNE ROBINSON (Executive Officer),021-485769,0001952529-23-000003,https://www.sec.gov/Archives/edgar/data/1952529/000195252923000003/
"Green Exchange, PBC",1959610,Gladstone,07934,Corporation,2022,True,Other,Decline to Disclose,2022-03-02,2022-12-29,False,600000.0,600000.0,5,True,False,06b,Alexander Kontoleon (Executive Officer); Robert Wotzcak (Director); Daniel Labovitz (Executive Officer/Director); Charles Dolan (Executive Officer/Director),021-469180,0001959610-22-000001,https://www.sec.gov/Archives/edgar/data/1959610/000195961022000001/
"Green Exchange, PBC",1959610,Gladstone,07934,Corporation,2022,True,Other,Decline to Disclose,2022-10-07,2022-12-29,False,1500000.0,999997.0,2,True,False,06b,Daniel Labovitz (Executive Officer/Director); Robert Wotzcak (Director); Charles Dolan (Executive Officer/Director); Alexander Kontoleon (Executive Officer),021-469183,0001959610-22-000002,https://www.sec.gov/Archives/edgar/data/1959610/000195961022000002/
"Green Exchange, PBC",1959610,Gladstone,07934,Corporation,2022,True,Other,Decline to Disclose,2023-02-03,2024-04-25,True,5000000.0,1550000.0,6,True,False,06b,Alexander Kontoleon (Executive Officer); Robert Wotzcak (Director); Charles Dolan (Executive Officer/Director); Daniel Labovitz (Executive Officer/Director),021-474234,0001200876-24-000004,https://www.sec.gov/Archives/edgar/data/1959610/000120087624000004/
Grignard Pure LLC,1908379,Rahway,07065,Limited Liability Company,2020,True,Other,"$1 - $1,000,000",2021-11-04,2022-07-21,False,2500000.0,1400000.0,11,True,False,06b,Emile Grignard III (Executive Officer),021-453177,0001908379-22-000003,https://www.sec.gov/Archives/edgar/data/1908379/000190837922000003/
"Gymble, Inc.",1881845,Newark,07102,Corporation,2020,True,Other Technology,Decline to Disclose,2022-12-21,2023-02-08,False,120000.0,120000.0,1,True,True,06b,Akim Mitchell (Executive Officer/Director); Bobby Phills III (Executive Officer/Director); Devon Oakley (Executive Officer/Director),021-472916,0001881845-23-000002,https://www.sec.gov/Archives/edgar/data/1881845/000188184523000002/
"Gynger, Inc.",1902984,East Rutherford,07073,Corporation,2021,True,Other,Decline to Disclose,2021-12-16,2022-01-12,False,5860002.0,5860002.0,6,True,False,06b,Eric Reiner (Director); Mark Ghermezian (Executive Officer/Director),021-429028,0001902984-22-000001,https://www.sec.gov/Archives/edgar/data/1902984/000190298422000001/
H Investment Fund LLC,2055197,North Plainfield,07060,Limited Liability Company,2025,True,Other,No Revenues,,2025-02-06,True,10000000.0,0.0,0,True,False,06c,Randeep Singh (Executive Officer),021-537397,0002055197-25-000002,https://www.sec.gov/Archives/edgar/data/2055197/000205519725000002/
"HC Parent Holdings, LLC",1900846,Teaneck,07666,Limited Liability Company,2021,True,Other,Decline to Disclose,2021-12-14,2021-12-22,False,62560000.0,62560000.0,8,True,False,06b,DeVer Warner (Executive Officer/Director); Brian Tilley (Executive Officer/Director),021-426300,0001900846-21-000001,https://www.sec.gov/Archives/edgar/data/1900846/000190084621000001/
"HOPR.AI, INC.",1891889,Edison,08820,Corporation,2020,True,Other,Decline to Disclose,2023-04-20,2023-06-01,False,,1479500.0,4,False,False,06b,Jacob Guedalia (Executive Officer/Director),021-483095,0001891889-23-000001,https://www.sec.gov/Archives/edgar/data/1891889/000189188923000001/
"HVG Holdings, LLC",1965190,Teaneck,07666,Limited Liability Company,2022,True,Other,Decline to Disclose,2023-01-31,2023-02-13,False,195620000.0,195620000.0,20,True,False,06b,Brian Tilley (Executive Officer/Director); Andrew White (Executive Officer/Director),021-473297,0001965190-23-000001,https://www.sec.gov/Archives/edgar/data/1965190/000196519023000001/
Halfday Tonics Inc.,1937924,Laurel Springs,08021,Corporation,2023,True,Other,Decline to Disclose,2023-08-10,2023-08-24,False,10315951.0,7290953.0,40,True,False,06b,Michael Lombardo (Executive Officer/Director/Promoter); Kayvon Jahanbakhsh (Director); Daniel Morad (Director),021-490561,0001937924-23-000003,https://www.sec.gov/Archives/edgar/data/1937924/000193792423000003/
Handy Homes Services Inc.,2010969,Rumson,07760,Corporation,2024,True,Other,No Revenues,2024-02-19,2024-02-27,True,500000.0,330000.0,4,False,False,06c,Kerry Ancheta (Executive Officer),021-505563,0001096906-24-000268,https://www.sec.gov/Archives/edgar/data/2010969/000109690624000268/
"Haven Servicing, Inc.",1859536,Newark,07102,Corporation,2019,True,Other Technology,Decline to Disclose,2021-05-04,2021-05-11,False,5514997.0,5514997.0,38,True,False,06b,Jonathan Chao (Executive Officer); Christian Lawless (Director); Aditya Acharya (Director); Nipun Kant (Executive Officer/Director),021-398926,0001859536-21-000002,https://www.sec.gov/Archives/edgar/data/1859536/000185953621000002/
"Haven Servicing, Inc.",1859536,Newark,07102,Corporation,2019,True,Other Technology,Decline to Disclose,2022-09-19,2022-09-30,False,12249999.0,2000000.0,15,True,False,06b,Christian Lawless (Director); Jonathan Chao (Executive Officer/Director); Nipun Kant (Executive Officer/Director); Sarah Liu (Director),021-460357,0001859536-22-000001,https://www.sec.gov/Archives/edgar/data/1859536/000185953622000001/
"Health Recovery Solutions, Inc.",1562357,Hoboken,07030,Corporation,overFiveYears,False,Other Technology,Decline to Disclose,2021-03-04,2021-03-17,False,25374617.0,25374617.0,5,True,False,06b,Jarrett Bauer (Executive Officer/Director); Rohan Udeshi (Executive Officer/Director); Gregg Michaelson (Director); Patrick O'Keefe (Director); Sasank Aleti (Director); Scott Perricelli (Director),021-392493,0001562357-21-000001,https://www.sec.gov/Archives/edgar/data/1562357/000156235721000001/
HealthArc Worldwide Inc.,2001101,Hackensack,07601,Corporation,2022,True,Other Technology,Decline to Disclose,2023-11-01,2023-11-15,False,5000000.0,5000000.0,7,True,False,06b,Kevin O'Connor (Director); Sudeep Bath (Executive Officer/Director),021-497266,0001062993-23-020861,https://www.sec.gov/Archives/edgar/data/2001101/000106299323020861/
"HealthEC, LLC",1764061,Edison,08837,Limited Liability Company,2018,True,Other Health Care,Decline to Disclose,2023-09-26,2023-10-10,False,,5000000.0,2,True,False,06b,Chris Caramanico (Executive Officer/Director); Enrico Picozza (Director); Ashish Kapoor (Director); Shilpa Nayyar (Director); Steve Tolle (Director),021-494266,0001567619-23-007409,https://www.sec.gov/Archives/edgar/data/1764061/000156761923007409/
"HealthG2, Inc.",1838516,Princeton Junction,08550,Corporation,2020,True,Other Health Care,Decline to Disclose,2020-12-21,2021-01-05,False,2000000.0,25000.0,1,True,False,06b,Derek Nickerson (Executive Officer); Armand Principato (Executive Officer); Christian Nickerson (Executive Officer/Director),021-385205,0001838516-21-000001,https://www.sec.gov/Archives/edgar/data/1838516/000183851621000001/
"Healthcare Shares, P.B.C.",1837543,Hoboken,07030,Corporation,2020,True,Other Health Care,"$1 - $1,000,000",2021-01-04,2022-12-06,True,1000000.0,797501.0,15,True,False,06c,Daniel Dow (Executive Officer/Promoter); Laurence Girard (Executive Officer/Director/Promoter); Daniel Gerken (Executive Officer/Promoter),021-386339,0001837543-22-000004,https://www.sec.gov/Archives/edgar/data/1837543/000183754322000004/
"Healthtech Partners, Inc.",1769715,Scotch Plains,07076,Corporation,2019,True,Other Technology,Decline to Disclose,2021-12-21,2022-01-04,False,3376816.0,3376816.0,3,True,False,06b,Brian Litten (Director); Bruce Luehrs (Director); Mansoor Kahn (Executive Officer/Director); Matthew Kaufman (Executive Officer/Director); Maulik Trivedi (Director); Deven Unadkat (Director),021-427761,0001769715-22-000001,https://www.sec.gov/Archives/edgar/data/1769715/000176971522000001/
"Hepion Pharmaceuticals, Inc.",1583771,Edison,08837,Corporation,overFiveYears,False,Biotechnology,Decline to Disclose,2022-11-04,2022-11-15,False,20000000.0,20000000.0,8,True,False,06b,Gary Jacobs (Director); Timothy Block (Director); John Cavan (Executive Officer); John Brancaccio (Director); Petrus Wijngaard (Director); Robert Foster (Executive Officer/Director); Arnold Lippa (Director); Todd Hobbs (Executive Officer),021-464880,0001104659-22-119135,https://www.sec.gov/Archives/edgar/data/1583771/000110465922119135/
"Hepion Pharmaceuticals, Inc.",1583771,Edison,20883,Corporation,overFiveYears,False,Pharmaceuticals,Decline to Disclose,2023-09-28,2023-10-03,False,5000004.0,5000004.0,1,True,False,06b,Kaouthar Lbiati (Director); Timothy Block (Director); Gary Jacob (Director); Anand Reddi (Director); John Cavan (Executive Officer); Petrus Wijngaard (Director); Robert Foster (Executive Officer/Director); John Brancaccio (Director),021-493729,0001104659-23-106467,https://www.sec.gov/Archives/edgar/data/1583771/000110465923106467/
"Hepion Pharmaceuticals, Inc.",1583771,Edison,08837,Corporation,overFiveYears,False,Pharmaceuticals,Decline to Disclose,2024-07-19,2024-07-24,False,2900000.0,2900000.0,7,True,True,06b,Kaouthar Lbiati (Director); John Cavan (Executive Officer); Michael Purcell (Director); Timothy Block (Director); John Brancaccio (Director),021-519570,0001493152-24-028850,https://www.sec.gov/Archives/edgar/data/1583771/000149315224028850/
Hero Gear Inc.,1928265,Linwood,08221,Corporation,2019,True,Retailing,No Revenues,,2022-05-11,False,500000.0,0.0,0,False,True,06b,Ryan Rendfrey (Executive Officer/Director); Brian Lee (Director); Henry Gaskins (Director),021-445258,0001928265-22-000001,https://www.sec.gov/Archives/edgar/data/1928265/000192826522000001/
Hiddin LLC,1865195,West Caldwell,07006,Limited Liability Company,2019,True,Retailing,"$1 - $1,000,000",,2021-06-02,False,250000.0,0.0,0,True,False,06b,Tracey Butler (Executive Officer),021-401340,0001865195-21-000001,https://www.sec.gov/Archives/edgar/data/1865195/000186519521000001/
"High QA, Inc.",1763599,Hazlet,07730,Corporation,overFiveYears,False,Computers,Decline to Disclose,2022-12-22,2023-02-09,False,2099954.0,1049956.0,5,True,False,06b,Douglas Cox (Director); Jeffrey Davison (Director); Glen Bressner (Director); George Boyajian (Director); Samuel Golan (Executive Officer/Director),021-473084,0001763599-23-000001,https://www.sec.gov/Archives/edgar/data/1763599/000176359923000001/
High St Management LLC,1965918,Hackettstown,07840,Limited Liability Company,2021,True,Other,Decline to Disclose,2023-02-06,2023-02-21,False,1500000.0,450000.0,3,True,False,06b,Craig Cohen (Executive Officer); Daniel Weinstein (Executive Officer),021-473855,0001965918-23-000001,https://www.sec.gov/Archives/edgar/data/1965918/000196591823000001/
"HillviewMed, Inc.",1788118,Lincoln Park,07035,Corporation,2018,True,Other Health Care,Decline to Disclose,2021-11-29,2021-12-14,False,,550000.0,5,False,False,06b,Lisa VandeVrede (Director); Kenneth VandeVrede (Executive Officer),021-424925,0001788118-21-000002,https://www.sec.gov/Archives/edgar/data/1788118/000178811821000002/
"Hive Brands Holdings, Inc.",1837862,Chatham,07928,Corporation,2020,True,Retailing,Decline to Disclose,2021-12-06,2021-12-22,False,15000000.0,7180257.0,17,True,False,06b,"John Basto, Jr. (Director); Scott Morris (Executive Officer/Director/Promoter); Stephan Oppenheimer (Director); Thomas Ellis (Executive Officer/Promoter)",021-426216,0001837862-21-000001,https://www.sec.gov/Archives/edgar/data/1837862/000183786221000001/
"Hive Brands Holdings, Inc.",1837862,Freehold,07728,Corporation,2020,True,Retailing,Decline to Disclose,2023-12-13,2024-01-04,False,5000000.0,3337923.0,19,True,False,06b,Scott Morris (Director); Katie Tyson (Executive Officer),021-501523,0002004589-24-000001,https://www.sec.gov/Archives/edgar/data/1837862/000200458924000001/
Hoboken Farms Foods LLC,2006337,Clifton,07013,Limited Liability Company,2023,True,Other,Decline to Disclose,2023-12-18,2024-01-02,False,4700000.0,200000.0,1,True,False,06b,Charles Stamaris (Executive Officer); Brad Finkel (Executive Officer),021-501328,0002006337-24-000001,https://www.sec.gov/Archives/edgar/data/2006337/000200633724000001/
Hoboken Investment Group LLC,1996412,Hoboken,07030,Limited Liability Company,2023,True,Other,Decline to Disclose,2024-02-09,2024-02-20,False,2000000.0,50000.0,1,True,False,06b,Greta Brandt (Executive Officer); Ryan Ciucki (Executive Officer); Mike Standlee (Executive Officer/Director),021-505592,0001062993-24-003601,https://www.sec.gov/Archives/edgar/data/1996412/000106299324003601/
Holistik Wellness LLC,1767019,Fanwood,07023,Limited Liability Company,overFiveYears,False,Other,"$1 - $1,000,000",2021-07-27,2025-01-16,True,4000000.0,4000000.0,51,False,True,06b,Erik Elfstrum (Executive Officer/Director); William Fleming (Executive Officer/Director); Jared Kaban (Director); T.J. Stouder (Executive Officer/Director); Doug Kimmel (Executive Officer/Director),021-408095,0001767019-25-000001,https://www.sec.gov/Archives/edgar/data/1767019/000176701925000001/
"Holland Ridge Capital III, LLC",2125714,Long Branch,07740,Limited Liability Company,2025,True,Other,Decline to Disclose,2026-01-30,2026-03-31,False,360000.0,360000.0,4,True,False,06b,"Holland Ridge Management, LLC (Executive Officer); Nicholas Ambrosino (Executive Officer)",021-578427,0002125714-26-000001,https://www.sec.gov/Archives/edgar/data/2125714/000212571426000001/
"Home Surplus Holdings, LLC",1927720,Keyport,07735,Limited Liability Company,2022,True,Retailing,Decline to Disclose,2022-04-11,2022-06-06,False,33000000.0,16625600.0,20,True,False,06b,n/a Schwartz Family Holdings LLC (Director); Joel Schwartz (Executive Officer/Promoter),021-448246,0001437749-22-014443,https://www.sec.gov/Archives/edgar/data/1927720/000143774922014443/
HomeJab Inc.,1897643,Cherry Hill,08002,Corporation,2021,True,Other Technology,Decline to Disclose,,2021-12-15,False,,0.0,0,True,True,06c,Joseph Jesuele (Executive Officer/Director),021-425065,0001756638-21-000006,https://www.sec.gov/Archives/edgar/data/1897643/000175663821000006/
Homeroom Fund 2023 LLC,1990739,Princeton,08540,Limited Liability Company,2023,True,Business Services,Decline to Disclose,2023-09-01,2023-09-13,False,,30000.0,2,True,False,06b,Andrew Somers (Director); Akash Patel (Director); Ben Jen (Director),021-491955,0001990739-23-000001,https://www.sec.gov/Archives/edgar/data/1990739/000199073923000001/
Hoot Health Inc.,2046311,Millstone,08535,Corporation,2021,True,Other Health Care,Decline to Disclose,2022-09-01,2024-11-26,False,750000.0,310000.0,5,False,False,06b,Robert Miglani (Executive Officer/Director); Shefali Miglani (Executive Officer),021-530537,0002046311-24-000001,https://www.sec.gov/Archives/edgar/data/2046311/000204631124000001/
Hotspot Inc.,1986040,Princeton,08542,Corporation,2021,True,Other,Decline to Disclose,2023-07-26,2023-07-28,False,145000.0,145000.0,6,False,False,06b,Dylan Porges (Executive Officer/Director); Ayooluwa Oguntola (Executive Officer/Director),021-488175,0001986040-23-000001,https://www.sec.gov/Archives/edgar/data/1986040/000198604023000001/
Hudson River Pickleball Inc.,2021536,Hoboken,07030,Corporation,2024,True,Other,Decline to Disclose,2024-04-11,2024-04-30,False,165000.0,100000.0,4,True,False,06b,Zhilong Lin (Executive Officer/Director),021-511946,0002021536-24-000001,https://www.sec.gov/Archives/edgar/data/2021536/000202153624000001/
"Human.Quest, Inc",1959944,Parsippany,07054,Corporation,2021,True,Other,No Revenues,2022-12-22,2023-01-05,False,2000000.0,15000.0,2,False,False,04,Ashish Goyal (Director),021-469827,0001931638-23-000001,https://www.sec.gov/Archives/edgar/data/1959944/000193163823000001/
"ICARE QOZ FUND, INC.",1869651,Newark,07104,Corporation,2021,True,Other Health Care,Decline to Disclose,,2022-07-12,True,,0.0,0,True,False,"06b, 3C.1",PAULETTA HINES (Director); DARIN LIEBER (Director); RENITA RAGAN (Director/Executive Officer); Y.D. YAO (Director); KAREN MYRIE (Director); LORD DOWDELL (Executive Officer/Director),021-406402,0001567619-22-013892,https://www.sec.gov/Archives/edgar/data/1869651/000156761922013892/
IDUnique Inc.,1837206,Roseland,07068,Corporation,2020,True,Other Technology,Decline to Disclose,2020-12-02,2021-01-13,False,750000.0,310000.0,9,False,True,"06b, 4a5",Adam Brothers (Executive Officer),021-386134,0001837206-21-000001,https://www.sec.gov/Archives/edgar/data/1837206/000183720621000001/
"IMOR, Inc.",1883661,Short Hills,07078,Corporation,2021,True,Other,Decline to Disclose,2021-09-08,2021-09-21,False,,600000.0,5,True,False,06b,Alex Betancur (Executive Officer/Director); Abby Flamholz (Director),021-414094,0001433642-21-000136,https://www.sec.gov/Archives/edgar/data/1883661/000143364221000136/
"INQUISITHEALTH, INC.",1567863,River Edge,07661,Corporation,overFiveYears,False,Other Health Care,Decline to Disclose,2021-02-24,2021-03-23,False,725000.0,725000.0,8,False,True,06b,Brijesh Patel (Executive Officer/Director); Ashwin Patel (Executive Officer/Director); James Foy (Director),021-393214,0001567863-21-000001,https://www.sec.gov/Archives/edgar/data/1567863/000156786321000001/
"INQUISITHEALTH, INC.",1567863,River Edge,07661,Corporation,overFiveYears,False,Other Health Care,Decline to Disclose,2022-03-18,2022-03-30,False,1500000.0,1157302.0,7,True,False,06b,Ashwin Patel (Executive Officer/Director),021-439560,0001567863-22-000001,https://www.sec.gov/Archives/edgar/data/1567863/000156786322000001/
"INTELAGIST, INC.",2075631,Bloomfield,07003,Corporation,2024,True,Other,Decline to Disclose,,2025-07-10,False,500000.0,0.0,0,True,False,06b,AMANDEEP LOI (Executive Officer),021-551249,0001599916-25-000084,https://www.sec.gov/Archives/edgar/data/2075631/000159991625000084/
"INTERPACE BIOSCIENCES, INC.",1054102,Parsippany,07054,Corporation,overFiveYears,False,Other Health Care,Decline to Disclose,2024-10-11,2024-10-16,False,47000000.0,47000000.0,2,True,False,06b,Stephen Sullivan (Director); Vijay Aggarwal (Director); Joseph Keegan (Director); Fortunato Ron Rocca (Director); Christopher McCarthy (Executive Officer); Thomas Burnell (Executive Officer/Director),021-526971,0001493152-24-041289,https://www.sec.gov/Archives/edgar/data/1054102/000149315224041289/
"IVIEW Therapeutics, Inc.",1848749,Cranbury,08512,Corporation,overFiveYears,False,Pharmaceuticals,Decline to Disclose,2021-02-26,2022-01-12,True,30027445.0,30027445.0,15,True,False,06b,John Baldwin (Director); Wei Wang (Executive Officer/Director); Bo Liang (Executive Officer/Director); Qi Zhu (Executive Officer/Director); Xiaolu Sun (Director); Bin He (Director); Tao Du (Director),021-392060,0001848749-22-000001,https://www.sec.gov/Archives/edgar/data/1848749/000184874922000001/
"IVIEW Therapeutics, Inc.",1848749,Cranbury,08512,Corporation,overFiveYears,False,Biotechnology,Decline to Disclose,2024-05-14,2025-06-10,True,15000000.0,9177371.0,5,True,False,06b,Qi Zhu (Director); Houman Hemmati (Executive Officer/Director); Wei Wang (Executive Officer/Director); Jingjie Li (Director); Xiaolu Sun (Director); Bo Liang (Executive Officer/Director); Bin He (Director),021-514236,0001848749-25-000003,https://www.sec.gov/Archives/edgar/data/1848749/000184874925000003/
Ignite Venture Studio LLC,1957811,Princeton,08540,Limited Liability Company,2022,True,Other,Decline to Disclose,2022-12-22,2022-12-30,False,5350006.0,5350006.0,4,True,False,06b,Joshua E. Ghaim (Executive Officer),021-469319,0001957811-22-000001,https://www.sec.gov/Archives/edgar/data/1957811/000195781122000001/
Ilekun Health Inc.,1857566,Hillsdale,07642,Corporation,2020,True,Other Health Care,Decline to Disclose,2021-01-05,2021-06-22,True,500000.0,47500.0,3,True,False,06b,Tobi Bosede (Executive Officer/Director),021-396258,0001857566-21-000002,https://www.sec.gov/Archives/edgar/data/1857566/000185756621000002/
"ImageProVision, Inc.",2048548,Kingston,08528,Corporation,2021,True,Other Technology,"$1 - $1,000,000",2021-09-28,2025-01-10,False,5000000.0,4010000.0,40,False,False,06b,Sandeep Kulkarni (Director); Jeffrey Hall (Executive Officer); Devendra Shukla (Director); Raghu Rao (Executive Officer/Director),021-534662,0002048548-25-000001,https://www.sec.gov/Archives/edgar/data/2048548/000204854825000001/
"ImmunoCellular Therapeutics, Ltd.",822411,Montvale,07645,Corporation,overFiveYears,False,Pharmaceuticals,No Revenues,2022-08-26,2022-09-12,False,5000000.0,750000.0,1,False,False,06b,Frank Douglas (Director); Julie Kampf (Director); Robert Lehman (Director); Eli Goldberger (Executive Officer/Director); Wayne Danson (Executive Officer); Irach Taraporewala (Executive Officer/Director),021-458604,0001493152-22-025629,https://www.sec.gov/Archives/edgar/data/822411/000149315222025629/
