company,cik,city,zip,entity_type,incorporated,young_company,industry,revenue_range,first_sale_date,filing_date,is_amendment,total_offering,amount_sold,num_investors,equity,debt,exemptions,related_people,file_num,accession,filing_url
BlockFi Inc.,1726072,Jersey City,07302,Corporation,2017,True,Other Technology,Decline to Disclose,,2022-11-07,False,,0.0,0,False,False,06c,Robert Loban (Executive Officer); Jennifer Hill (Director); Tony Lauro II (Director); Amit Cheela (Executive Officer); Zachary Prince (Executive Officer/Director); Florencia Marquez (Executive Officer/Director); Jonathan Mayers (Executive Officer),021-464000,0001209191-22-055880,https://www.sec.gov/Archives/edgar/data/1726072/000120919122055880/
"BlockScience Labs, Inc.",1873950,Laurel Springs,08021,Corporation,2021,True,Other Technology,Decline to Disclose,2021-07-14,2021-11-18,True,,940.0,7,True,True,06c,Michael Zargham (Director); Christopher Frazier (Executive Officer/Director); Nick Hirannet (Executive Officer/Director),021-407064,0001756638-21-000004,https://www.sec.gov/Archives/edgar/data/1873950/000175663821000004/
"Blockchain Technologies, Inc.",1897520,Jersey City,07311,Corporation,2021,True,Other,Decline to Disclose,2021-11-19,2021-12-06,False,2125018.0,2125018.0,17,True,False,06b,Owen Colegrove (Executive Officer/Director); John Clarke (Executive Officer/Director),021-423863,0001897520-21-000001,https://www.sec.gov/Archives/edgar/data/1897520/000189752021000001/
Blue Care Homes LLC,1956562,Lakewood,08701,Limited Liability Company,2022,True,Other Health Care,Decline to Disclose,2022-11-15,2022-12-01,False,5217199.0,5217199.0,2,True,False,06b,Shmuel Haikins (Executive Officer),021-466269,0001956562-22-000001,https://www.sec.gov/Archives/edgar/data/1956562/000195656222000001/
Blue Logistics TopCo LLC,2015079,Madison,07940,Limited Liability Company,2024,True,Business Services,Decline to Disclose,2024-03-01,2024-03-19,False,74330926.0,74330926.0,4,True,False,06b,Scott Melcher (Executive Officer); Conor Cook (Executive Officer); Kirby Fine (Executive Officer/Director); Rick Campbell (Executive Officer/Director); Todd Soiefer (Executive Officer/Director),021-507982,0002015099-24-000003,https://www.sec.gov/Archives/edgar/data/2015079/000201509924000003/
Blue Planet Training Inc,1674474,Montclair,07043,Corporation,overFiveYears,False,Other,"$5,000,001 - $25,000,000",2018-03-12,2021-03-23,False,3145410.0,3145410.0,67,True,False,04,John Nugent (Director); Cherita McIntye (Director); Eddie Leung (Executive Officer); Douglas Melder (Executive Officer/Director); William Hoogterp Jr (Executive Officer/Director); Janina Kugel (Director); Bill Moran (Director),021-393242,0001674474-21-000001,https://www.sec.gov/Archives/edgar/data/1674474/000167447421000001/
Blue Planet Training Inc,1674474,Montclair,07043,Corporation,overFiveYears,False,Other,"$5,000,001 - $25,000,000",2020-07-15,2021-03-24,False,816852.0,816852.0,39,True,False,04,William Hoogterp Jr (Executive Officer/Director); Douglas Melder (Executive Officer/Director); Eddie Leung (Executive Officer); Cherita McIntye (Director); John Nugent (Director); Janina Kugel (Director); Bill Moran (Director),021-393250,0001674474-21-000002,https://www.sec.gov/Archives/edgar/data/1674474/000167447421000002/
Blue Planet Training Inc,1674474,Montclair,07043,Corporation,overFiveYears,False,Other,"$5,000,001 - $25,000,000",2021-08-24,2025-08-05,True,6463421.0,6118712.0,103,True,False,04,Adam Grant (Director); Giancarlo Esposito (Director); Michelle Lee (Director); Panagiotis Gianopoulos (Director); William Moran (Director); Molly Ringwald (Director); Cathy Wong (Executive Officer); Cherita McIntye (Director); Chris Varelas (Director); William Hoogterp Jr (Executive Officer/Director); Joanne Mallia-Barsati (Director); Kim Polese (Director); John Nugent (Director); Zhenguo Yao (Director); Jia Jiang (Director); Eddie Leung (Executive Officer); Jamie Merisotis (Director); David Fizdale (Director); Brian Boland (Director),021-411791,0001674474-25-000002,https://www.sec.gov/Archives/edgar/data/1674474/000167447425000002/
Blue Sage Solutions LLC,1839280,Englewood Cliffs,07632,Limited Liability Company,overFiveYears,False,Computers,"$5,000,001 - $25,000,000",2020-12-23,2021-01-08,False,35000000.0,35000000.0,3,True,False,"06b, 4a5",David Aach (Executive Officer),021-385699,0001839280-21-000001,https://www.sec.gov/Archives/edgar/data/1839280/000183928021000001/
"Blue Sky Stones, Inc.",1981570,North Brunswick,08902,Corporation,2022,True,Other,"$1 - $1,000,000",2023-05-25,2023-06-14,False,15750.0,15750.0,1,True,False,06b,Mayank Jhanjhri (Director/Promoter),021-484256,0001981570-23-000001,https://www.sec.gov/Archives/edgar/data/1981570/000198157023000001/
"Blue Stripes, Inc.",1819153,Closter,07624,Corporation,overFiveYears,False,Other,Decline to Disclose,2022-12-22,2023-01-25,False,6150000.0,6150000.0,21,True,False,06b,Oren Maor (Director); Ofer Koren (Director); Nir Caspi (Director); Scott Collier (Director); Kristoffel Meulen (Director); Aviv Schwietzer (Executive Officer); Oded Brenner (Executive Officer/Director); Ricky Neumann (Director),021-471757,0001819153-23-000003,https://www.sec.gov/Archives/edgar/data/1819153/000181915323000003/
"Borobabi, Co.",1826274,Ridgewood,07450,Corporation,2020,True,Retailing,Decline to Disclose,2020-10-04,2021-03-11,True,1300000.0,1100000.0,63,False,False,06b,Butler Carolyn (Executive Officer/Director); Rich Amsinger (Director),021-377473,0001826274-21-000001,https://www.sec.gov/Archives/edgar/data/1826274/000182627421000001/
Boxcar Inc.,1945555,Chatham,07928,Corporation,overFiveYears,False,Business Services,Decline to Disclose,2022-07-21,2022-10-25,False,1781457.0,1651333.0,20,True,False,06b,Joseph Colangelo (Executive Officer/Director/Promoter); Dan Kelly (Executive Officer/Director/Promoter); Owen Lee (Executive Officer/Director/Promoter),021-462673,0001567619-22-018735,https://www.sec.gov/Archives/edgar/data/1945555/000156761922018735/
Boxcar Inc.,1945555,Chatham,07928,Corporation,overFiveYears,False,Business Services,Decline to Disclose,2024-04-26,2024-09-24,False,5486790.0,2466857.0,18,True,False,06b,Owen Lee (Director/Executive Officer/Promoter); Dan Kelly (Director/Executive Officer/Promoter); Joseph Colangelo (Director/Executive Officer/Promoter),021-524789,0000929638-24-003209,https://www.sec.gov/Archives/edgar/data/1945555/000092963824003209/
"Brain Temp, Inc.",2045340,"Montclair,",07042,Corporation,overFiveYears,False,Other Technology,Decline to Disclose,2024-11-04,2024-11-19,False,6595338.0,6595338.0,1,True,False,06b,Bryan Grulke (Director); Jeffrey Carr (Director); Terry Wall (Executive Officer/Director),021-529802,0002045340-24-000001,https://www.sec.gov/Archives/edgar/data/2045340/000204534024000001/
BrainKube Inc,2087565,Edgewater,07020,Corporation,2025,True,Other Technology,No Revenues,,2025-10-02,False,10000000.0,0.0,0,False,False,06c,Rishabh Singh (Executive Officer/Promoter); Minshic Kim (Executive Officer/Promoter); Jirook Kim (Director/Promoter),021-559588,0002087565-25-000003,https://www.sec.gov/Archives/edgar/data/2087565/000208756525000003/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2024-10-24,2024-11-07,False,400000.0,400000.0,4,True,False,06b,Ashley Davis (Director); Rose Registre (Director); Jeff Galletly (Executive Officer/Director); Tim Driscoll (Director); Igor Kostioutchenko (Executive Officer); Claudia Lezcano (Director); Pat Carey (Director); Daniel Nauth (Director),021-528855,0001062993-24-018551,https://www.sec.gov/Archives/edgar/data/2003006/000106299324018551/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2024-12-27,2025-01-06,False,225000.0,225000.0,3,True,False,06b,Rose Registre (Director); Igor Kostioutchenko (Executive Officer); Ashley Davis (Director); Pat Carey (Director); Tim Driscoll (Director); Claudia Lezcano (Director); Daniel Nauth (Director); Jeff Galletly (Executive Officer/Director),021-534324,0001062993-25-000371,https://www.sec.gov/Archives/edgar/data/2003006/000106299325000371/
"Brooklyn Dumpling Parent Holdings, Inc.",2003006,Hackensack,07601,Corporation,2023,True,Other,Decline to Disclose,2025-03-31,2025-04-11,False,200000.0,200000.0,3,False,True,06b,Claudia Lezcano (Director); Igor Kostioutchenko (Director); Ashley Davis (Director); Pat Carey (Director); Rose Registre (Director); Tim Driscoll (Director); Jeff Galletly (Executive Officer/Director); Daniel Nauth (Director),021-543432,0001062993-25-007331,https://www.sec.gov/Archives/edgar/data/2003006/000106299325007331/
